"This the the original data from Richard P. Rumelt, Strategy, Structure, and Economic Performance,",,,,,,,
"updated to extend to 1974. The rank column shows ranks in only 1949,1959, 1969,and 1974. ",,,,,,,
"The 1949 ranks are exact for 1-99, 100-200 are marked 200, and 300-500 are marked 500.",,,,,,,
"In500  = 1 when the firm was in the top 500, and 0 when it was smaller than that. ",,,,,,,
Data begins and ends in 1949 and 1974 unless the firm was formed after 1949 and/or was acquired or otherwise disappeared before 1974.,,,,,,,
Change the extension to CSV to open as a spreadsheet.,,,,,,,

Name,Symbol,SIC,Year,In 500,Rank,Strategy,Structure
BANGOR PUNTA CORP,BNK,3999,1960,0,--,SB,HC
BANGOR PUNTA CORP,BNK,3999,1961,0,--,SB,HC
BANGOR PUNTA CORP,BNK,3999,1962,0,--,UC,HC
BANGOR PUNTA CORP,BNK,3999,1963,0,--,UC,HC
BANGOR PUNTA CORP,BNK,3999,1964,0,--,UC,HC
BANGOR PUNTA CORP,BNK,3999,1965,0,--,UP,HC
BANGOR PUNTA CORP,BNK,3999,1966,1,--,UP,HC
BANGOR PUNTA CORP,BNK,3999,1967,1,--,UP,HC
BANGOR PUNTA CORP,BNK,3999,1968,1,--,UP,HC
BANGOR PUNTA CORP,BNK,3999,1969,1,288,UP,HC
BANGOR PUNTA CORP,BNK,3999,1970,1,--,UP,HC
BANGOR PUNTA CORP,BNK,3999,1971,1,--,UP,HC
BANGOR PUNTA CORP,BNK,3999,1972,1,--,UP,HC
BANGOR PUNTA CORP,BNK,3999,1973,1,--,UP,HC
BANGOR PUNTA CORP,BNK,3999,1974,1,451,UP,HC
BECTON DICKINSON & CO,BDX,2837,1949,0,0,RC,FU
BECTON DICKINSON & CO,BDX,2837,1950,0,--,RC,FU
BECTON DICKINSON & CO,BDX,2837,1951,0,--,RC,FU
BECTON DICKINSON & CO,BDX,2837,1952,0,--,RC,FU
BECTON DICKINSON & CO,BDX,2837,1953,0,--,RC,FU
BECTON DICKINSON & CO,BDX,2837,1954,0,--,RC,FU
BECTON DICKINSON & CO,BDX,2837,1955,0,--,RC,FS
BECTON DICKINSON & CO,BDX,2837,1956,0,--,RC,FS
BECTON DICKINSON & CO,BDX,2837,1957,0,--,RC,FS
BECTON DICKINSON & CO,BDX,2837,1958,0,--,RC,FS
BECTON DICKINSON & CO,BDX,2837,1959,0,0,RC,FS
BECTON DICKINSON & CO,BDX,2837,1960,0,--,RC,FS
BECTON DICKINSON & CO,BDX,2837,1961,0,--,RC,FS
BECTON DICKINSON & CO,BDX,2837,1962,0,--,RC,FS
BECTON DICKINSON & CO,BDX,2837,1963,0,--,RC,FS
BECTON DICKINSON & CO,BDX,2837,1964,0,--,RC,FS
BECTON DICKINSON & CO,BDX,2837,1965,0,--,RC,PD
BECTON DICKINSON & CO,BDX,2837,1966,1,--,RC,PD
BECTON DICKINSON & CO,BDX,2837,1967,1,--,RC,PD
BECTON DICKINSON & CO,BDX,2837,1968,1,--,RC,PD
BECTON DICKINSON & CO,BDX,2837,1969,1,417,RC,PD
BECTON DICKINSON & CO,BDX,2837,1970,1,--,RC,PD
BECTON DICKINSON & CO,BDX,2837,1971,1,--,RC,PD
BECTON DICKINSON & CO,BDX,2837,1972,1,--,RC,PD
BECTON DICKINSON & CO,BDX,2837,1973,1,--,RC,PD
BECTON DICKINSON & CO,BDX,2837,1974,1,402,RC,PD
BENDIX CORP,BX,3714,1949,1,500,RL,PD
BENDIX CORP,BX,3714,1950,1,--,RL,PD
BENDIX CORP,BX,3714,1951,1,--,RL,PD
BENDIX CORP,BX,3714,1952,1,--,RL,PD
BENDIX CORP,BX,3714,1953,1,--,RL,PD
BENDIX CORP,BX,3714,1954,1,--,RL,PD
BENDIX CORP,BX,3714,1955,1,--,RL,PD
BENDIX CORP,BX,3714,1956,1,--,RL,PD
BENDIX CORP,BX,3714,1957,1,--,RL,PD
BENDIX CORP,BX,3714,1958,1,--,RL,PD
BENDIX CORP,BX,3714,1959,1,62,RL,PD
BENDIX CORP,BX,3714,1960,1,--,RL,PD
BENDIX CORP,BX,3714,1961,1,--,RL,PD
BENDIX CORP,BX,3714,1962,1,--,RL,PD
BENDIX CORP,BX,3714,1963,1,--,RL,PD
BENDIX CORP,BX,3714,1964,1,--,RL,PD
BENDIX CORP,BX,3714,1965,1,--,RL,PD
BENDIX CORP,BX,3714,1966,1,--,RL,PD
BENDIX CORP,BX,3714,1967,1,--,RL,PD
BENDIX CORP,BX,3714,1968,1,--,RL,PD
BENDIX CORP,BX,3714,1969,1,72,RL,PD
BENDIX CORP,BX,3714,1970,1,--,RL,PD
BENDIX CORP,BX,3714,1971,1,--,RL,PD
BENDIX CORP,BX,3714,1972,1,--,RL,PD
BENDIX CORP,BX,3714,1973,1,--,RL,PD
BENDIX CORP,BX,3714,1974,1,77,RL,PD
BLACK & DECKER MFG CO,BDK,3550,1949,0,0,SB,FU
BLACK & DECKER MFG CO,BDK,3550,1950,0,--,SB,FU
BLACK & DECKER MFG CO,BDK,3550,1951,0,--,SB,FU
BLACK & DECKER MFG CO,BDK,3550,1952,0,--,SB,FU
BLACK & DECKER MFG CO,BDK,3550,1953,0,--,SB,FU
BLACK & DECKER MFG CO,BDK,3550,1954,0,--,SB,FU
BLACK & DECKER MFG CO,BDK,3550,1955,0,--,SB,FU
BLACK & DECKER MFG CO,BDK,3550,1956,0,--,SB,FU
BLACK & DECKER MFG CO,BDK,3550,1957,0,--,SB,FU
BLACK & DECKER MFG CO,BDK,3550,1958,0,--,SB,FU
BLACK & DECKER MFG CO,BDK,3550,1959,0,0,SB,FU
BLACK & DECKER MFG CO,BDK,3550,1960,0,--,SB,FU
BLACK & DECKER MFG CO,BDK,3550,1961,0,--,SB,FU
BLACK & DECKER MFG CO,BDK,3550,1962,0,--,SB,FU
BLACK & DECKER MFG CO,BDK,3550,1963,0,--,SB,FU
BLACK & DECKER MFG CO,BDK,3550,1964,1,--,SB,FU
BLACK & DECKER MFG CO,BDK,3550,1965,1,--,SB,FU
BLACK & DECKER MFG CO,BDK,3550,1966,1,--,SB,FU
BLACK & DECKER MFG CO,BDK,3550,1967,1,--,SB,FU
BLACK & DECKER MFG CO,BDK,3550,1968,1,--,SB,GW
BLACK & DECKER MFG CO,BDK,3550,1969,1,395,SB,GW
BLACK & DECKER MFG CO,BDK,3550,1970,1,--,SB,GW
BLACK & DECKER MFG CO,BDK,3550,1971,1,--,SB,GW
BLACK & DECKER MFG CO,BDK,3550,1972,1,--,SB,GW
BLACK & DECKER MFG CO,BDK,3550,1973,1,--,SB,GW
BLACK & DECKER MFG CO,BDK,3550,1974,1,278,SB,GW
BLUEBIRD INC,BBX,2010,1968,0,--,SB,HC
BLUEBIRD INC,BBX,2010,1969,0,0,SB,HC
BLUEBIRD INC,BBX,2010,1970,0,--,SB,HC
BLUEBIRD INC,BBX,2010,1971,0,--,SB,HC
BLUEBIRD INC,BBX,2010,1972,1,--,SB,HC
BLUEBIRD INC,BBX,2010,1973,1,--,SB,HC
BLUEBIRD INC,BBX,2010,1974,1,450,SB,HC
BOISE CASCADE CORP,BCC,2400,1949,0,0,SB,FU
BOISE CASCADE CORP,BCC,2400,1950,0,--,SB,FU
BOISE CASCADE CORP,BCC,2400,1951,0,--,SB,FU
BOISE CASCADE CORP,BCC,2400,1952,0,--,SB,FU
BOISE CASCADE CORP,BCC,2400,1953,0,--,SB,FU
BOISE CASCADE CORP,BCC,2400,1954,0,--,SB,FU
BOISE CASCADE CORP,BCC,2400,1955,0,--,SB,FU
BOISE CASCADE CORP,BCC,2400,1956,0,--,DV,FU
BOISE CASCADE CORP,BCC,2400,1957,0,--,DV,FU
BOISE CASCADE CORP,BCC,2400,1958,1,--,DV,FU
BOISE CASCADE CORP,BCC,2400,1959,1,321,DV,PD
BOISE CASCADE CORP,BCC,2400,1960,1,--,DV,PD
BOISE CASCADE CORP,BCC,2400,1961,1,--,DV,PD
BOISE CASCADE CORP,BCC,2400,1962,1,--,DV,PD
BOISE CASCADE CORP,BCC,2400,1963,1,--,DV,PD
BOISE CASCADE CORP,BCC,2400,1964,1,--,DV,PD
BOISE CASCADE CORP,BCC,2400,1965,1,--,DV,PD
BOISE CASCADE CORP,BCC,2400,1966,1,--,DV,PD
BOISE CASCADE CORP,BCC,2400,1967,1,--,RL,PD
BOISE CASCADE CORP,BCC,2400,1968,1,--,UC,PD
BOISE CASCADE CORP,BCC,2400,1969,1,55,UC,PD
BOISE CASCADE CORP,BCC,2400,1970,1,--,UC,PD
BOISE CASCADE CORP,BCC,2400,1971,1,--,UC,PD
BOISE CASCADE CORP,BCC,2400,1972,1,--,DV,PD
BOISE CASCADE CORP,BCC,2400,1973,1,--,DV,PD
BOISE CASCADE CORP,BCC,2400,1974,1,137,DV,PD
BORDEN INC,BN,2020,1949,1,67,RC,PD
BORDEN INC,BN,2020,1950,1,--,RC,PD
BORDEN INC,BN,2020,1951,1,--,RC,PD
BORDEN INC,BN,2020,1952,1,--,RC,PD
BORDEN INC,BN,2020,1953,1,--,RC,PD
BORDEN INC,BN,2020,1954,1,--,RC,PD
BORDEN INC,BN,2020,1955,1,--,RC,PD
BORDEN INC,BN,2020,1956,1,--,RC,PD
BORDEN INC,BN,2020,1957,1,--,RC,PD
BORDEN INC,BN,2020,1958,1,--,RC,PD
BORDEN INC,BN,2020,1959,1,44,RC,PD
BORDEN INC,BN,2020,1960,1,--,RC,PD
BORDEN INC,BN,2020,1961,1,--,RC,PD
BORDEN INC,BN,2020,1962,1,--,RC,PD
BORDEN INC,BN,2020,1963,1,--,RC,PD
BORDEN INC,BN,2020,1964,1,--,RC,PD
BORDEN INC,BN,2020,1965,1,--,RC,PD
BORDEN INC,BN,2020,1966,1,--,RC,PD
BORDEN INC,BN,2020,1967,1,--,RC,PD
BORDEN INC,BN,2020,1968,1,--,RC,PD
BORDEN INC,BN,2020,1969,1,54,RC,PD
BORDEN INC,BN,2020,1970,1,--,RC,PD
BORDEN INC,BN,2020,1971,1,--,RC,PD
BORDEN INC,BN,2020,1972,1,--,RC,PD
BORDEN INC,BN,2020,1973,1,--,RC,PD
BORDEN INC,BN,2020,1974,1,47,RC,PD
BORG-WARNER CORP,BOR,3714,1949,1,200,RL,HC
BORG-WARNER CORP,BOR,3714,1950,1,--,RL,HC
BORG-WARNER CORP,BOR,3714,1951,1,--,RL,HC
BORG-WARNER CORP,BOR,3714,1952,1,--,RL,HC
BORG-WARNER CORP,BOR,3714,1953,1,--,RL,HC
BORG-WARNER CORP,BOR,3714,1954,1,--,RL,PD
BORG-WARNER CORP,BOR,3714,1955,1,--,RL,PD
BORG-WARNER CORP,BOR,3714,1956,1,--,RL,PD
BORG-WARNER CORP,BOR,3714,1957,1,--,RL,PD
BORG-WARNER CORP,BOR,3714,1958,1,--,RL,PD
BORG-WARNER CORP,BOR,3714,1959,1,68,RL,PD
BORG-WARNER CORP,BOR,3714,1960,1,--,RL,PD
BORG-WARNER CORP,BOR,3714,1961,1,--,RL,PD
BORG-WARNER CORP,BOR,3714,1962,1,--,RL,PD
BORG-WARNER CORP,BOR,3714,1963,1,--,RL,PD
BORG-WARNER CORP,BOR,3714,1964,1,--,RL,PD
BORG-WARNER CORP,BOR,3714,1965,1,--,RL,PD
BORG-WARNER CORP,BOR,3714,1966,1,--,RL,PD
BORG-WARNER CORP,BOR,3714,1967,1,--,RL,PD
BORG-WARNER CORP,BOR,3714,1968,1,--,RL,PD
BORG-WARNER CORP,BOR,3714,1969,1,108,RL,PD
BORG-WARNER CORP,BOR,3714,1970,1,--,RL,PD
BORG-WARNER CORP,BOR,3714,1971,1,--,RL,PD
BORG-WARNER CORP,BOR,3714,1972,1,--,RL,PD
